epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,53.0736,2.13555,0.96046,0.99935,0.2843,0.000666059,0.000666059,0.0673631
2,101.909,0.34311,0.99194,0.99991,0.0433,0.00133273,0.00133273,0.0346964
3,149.153,0.14186,0.99704,1,0.01352,0.00199939,0.00199939,0.00202978
4,195.833,0.08521,0.99843,1,0.00705,0.002,0.002,0.002
5,242.607,0.06259,0.99944,1,0.00462,0.002,0.002,0.002
6,287.775,0.05184,0.99963,1,0.00253,0.002,0.002,0.002
7,333.053,0.041,0.99981,1,0.00162,0.002,0.002,0.002
8,377.833,0.03522,1,1,0.00141,0.002,0.002,0.002
9,422.818,0.03224,0.99991,1,0.00121,0.002,0.002,0.002
10,467.53,0.03178,1,1,0.00087,0.002,0.002,0.002
11,512.669,0.02828,0.99981,1,0.00117,0.002,0.002,0.002
12,557.799,0.02646,0.99991,1,0.00086,0.002,0.002,0.002
13,602.58,0.02587,1,1,0.00064,0.002,0.002,0.002
14,647.676,0.02403,1,1,0.00055,0.002,0.002,0.002
15,692.396,0.02392,1,1,0.00045,0.002,0.002,0.002
16,737.446,0.0218,1,1,0.00049,0.002,0.002,0.002
17,782.581,0.02143,1,1,0.00043,0.002,0.002,0.002
18,827.435,0.01948,1,1,0.00038,0.002,0.002,0.002
19,873.305,0.0196,1,1,0.00032,0.002,0.002,0.002
20,918.106,0.01755,1,1,0.00031,0.002,0.002,0.002
21,1010.7,0.01793,1,1,0.00031,0.002,0.002,0.002
22,1083.16,0.01686,1,1,0.00035,0.002,0.002,0.002
23,1155.39,0.01773,1,1,0.00034,0.002,0.002,0.002
24,1227.34,0.01759,0.99991,1,0.00035,0.002,0.002,0.002
25,1299.63,0.01563,0.99991,1,0.00035,0.002,0.002,0.002
26,1371.65,0.01436,0.99991,1,0.00036,0.002,0.002,0.002
27,1443.77,0.01711,0.99991,1,0.00034,0.002,0.002,0.002
28,1515.55,0.01341,0.99991,1,0.00032,0.002,0.002,0.002
29,1587.74,0.01303,0.99991,1,0.00032,0.002,0.002,0.002
30,1659.68,0.01441,0.99991,1,0.0003,0.002,0.002,0.002
